Id;Name;Country_iso;Country_id
1;3 Com;Int;1
2;3I;Int;15
3;3M;Int;9
4;4P Isea Spa;Int;30
5;Automobile Association;Int;15
6;A Ahlstrom;Int;14
7;Aalborg Portland;Int;10
8;Asea Brown Boveri;SWI;29
9;Abbey National Plc;I  nt;30
10;Abbotsford Brewery;Int;30
11;Abbott;FRA;9
12;Abdul Latif Jameel Company Ltd;Int;29
13;Abeille Assurances;Int;9
14;Alk-Abello;DEN;6
15;Abertis;Int;30
16;Abg Agricultural Bank Of Greec;GRE;11
17;Abi;Int;20
18;Abloy Oy;Int;15
19;Abn Amro Bank;NET;20
20;Abp Pensioenen;Int;10
21;Abresch Werbeagentur;Int;1
22;Abris;Int;9
23;Abx Logistics;BEL;2
24;Accbank;Int;10
25;Acca;Int;9
26;Accel Group Llc;Int;9
27;Accenture;GER;10
28;Access Graphics Bv;Int;30
29;Acciona;Int;10
30;Acco;UK;30
31;Accor;FRA;9
32;Acerol Lda;Int;9
33;Acea;Int;1
34;Ace Insurance Limited;Int;1
35;Acg Europe;Int;10
36;Achmea;Int;15
37;Aci;Int;15
38;Ac Nielsen;Int;15
39;Acordis;NET;20
40;Acr Logistics;Int;15
41;Acraf A C R Angelini Francesco;Int;9
42;Acs Aff. Computer Services;Int;20
43;Actavis;ICE;13
44;Actelion;SWI;29
45;Adco Abu Dhabi Co For Onshore;Int;10
46;Addax;Int;10
47;Adecco;SWI;29
48;Adgas Abu Dhabi Gas Liquefacti;Int;2
49;Adia;Int;15
50;Adidas;GER;10
51;Adin Ag;Int;29
52;Adis Int'L Ltd;Int;30
53;Adisseo;FRA;9
54;Adma-Opco Abu Dhabi Marine Ope;Int;15
55;Adme Bioanalyses;Int;10
56;Adnoc;Int;30
57;Adobe Systems Uk Ltd;Int;20
58;A/S Adresseavisen;Int;30
59;Adtranz Group;Int;30
60;Advanta;Int;15
61;Advantest;Int;9
62;Adventa;Int;10
63;Adv Group;RUS;9
64;Aea Technology;Int;30
65;Aegon Insurance Group;NET;20
66;Aer Lingus;Int;9
