Id;Nm_Grp;Id_Cty
1;3 Com;20
2;3I;9
3;3M;30
4;4P Isea Spa;9
5;Automobile Association;10
6;A Ahlstrom;9
7;Aalborg Portland;10
8;Asea Brown Boveri;29
9;Abbey National Plc;10
10;Abbotsford Brewery;2
11;Abbott;9
12;Abdul Latif Jameel Company Ltd;17
13;Abeille Assurances;14
14;Alk-Abello;6
15;Abertis;30
16;Abg Agricultural Bank Of Greec;11
17;Abi;9
18;Abloy Oy;10
19;Abn Amro Bank;20
20;Abp Pensioenen;17
21;Abresch Werbeagentur;30
22;Abris;10
23;Abx Logistics;2
24;Accbank;20
25;Acca;9
26;Accel Group Llc;9
27;Accenture;10
28;Access Graphics Bv;30
29;Acciona;9
30;Acco;30
31;Accor;9
32;Acerol Lda;15
33;Acea;10
34;Ace Insurance Limited;10
35;Acg Europe;9
36;Achmea;10
37;Aci;10
38;Ac Nielsen;14
39;Acordis;20
40;Acr Logistics;30
41;Acraf A C R Angelini Francesco;14
42;Acs Aff. Computer Services;15
43;Actavis;13
44;Actelion;29
45;Adco Abu Dhabi Co For Onshore;30
46;Addax;30
47;Adecco;29
48;Adgas Abu Dhabi Gas Liquefacti;10
49;Adia;10
50;Adidas;10
51;Adin Ag;10
52;Adis Int'L Ltd;15
53;Adisseo;9
54;Adma-Opco Abu Dhabi Marine Ope;15
55;Adme Bioanalyses;30
56;Adnoc;9
57;Adobe Systems Uk Ltd;15
58;A/S Adresseavisen;30
59;Adtranz Group;15
60;Advanta;20
61;Advantest;17
62;Adventa;30
63;Adv Group;10
64;Aea Technology;10
65;Aegon Insurance Group;20
66;Aer Lingus;9
67;Aero Groundservices Ag;9
68;Aeroporti Di Roma;9
69;Aerrianta;9
70;Advanced Elastomers Systems;1
71;Afb;10
72;Afes Russian Insurance Company;30
73;Affarsvarlden;14
74;Afnor - Assoc Francaise De Nor;10
75;Afrc Inst Of Food Research;20
76;Aftenposten;14
77;Afton;30
78;Aga;15
79;Agc Consultants Ltd;1
80;Agc Automotive;10
81;Asahi Glass Corporation;2
82;Agco;10
83;Agere Systems;30
84;Agfa;2
85;Agf/Allianz;30
86;Agf-Iart;20
87;Agiba Petroleum Company;10
88;Agie;30
89;Agilent Technologies;20
90;Agim;10
91;Agip Eni;30
92;Agiv Ag;10
93;Agora;29
94;Agrevo;10
95;Agrokor;14
96;Agrolimen Sa;30
97;Agros;22
98;Ao Agrotorg;30
99;Ahlstom;9
100;Ahlstrom Usa Inc;8
101;Royal Ahold N V;20
102;American Home Products;9
103;Athens Int'L Airport;11
104;Aib;14
105;American International Group;9
106;Aiglon College;15
107;Aim European Association Of In;30
108;Aims;1
109;Airboss Ground Engagement;15
110;Air Bp Ltd;29
111;Air France;10
112;Air France - Klm;9
113;Air Liquide;9
114;Air Malta Co Ltd;1
115;Air Miles Travel Promotions Lt;20
116;Air Products;30
117;Airtours;10
118;Aisanbitron;30
119;Ait Group;9
120;Ajinomoto;10
121;Aker;10
122;Akerlund And Rausing;10
123;Akzo Nobel;20
124;Alarko Group Of Companies;10
125;Aluminium Bahrain ;30
126;Albacom;20
127;Al Bank Al Saudi;30
128;Albany;10
129;Albemarle;29
130;Alcan;10
131;Alcatel;9
132;Alcoa;29
133;Alcon;17
134;Ald Automotive;10
135;Alfa Romeo;20
136;Alfa Laval;28
137;Algol;29
138;Algorithm Sal ;20
139;Aliaxis;29
140;Alkaloid;20
141;Al Khafji Joint Operations;17
142;Alko;15
143;Allen Bradley;29
144;Allendale;10
145;Allergan;30
146;Allianz;10
147;Allied Domecq;30
148;Allied Signal;9
149;Al Mansoori ;2
150;Almatis;10
151;Almiral Prodesfarma;27
152;Abdul Kadir Al-Muhaidib & Sons;15
153;Alpha Credit Bank;11
154;Alpharma;10
155;Alps Electric Ireland Ltd;30
156;Al Rajhi Investment Corporatio;20
157;Also Holding Ag;2
158;Alstom;9
159;Altadis Group;10
160;Altana;10
161;Alter Domus;17
162;Altia;8
163;Alusuisse-Lonza;10
164;Ama;2
165;Amadeus;27
166;Amadeus Fire;30
167;Amazon;30
168;Amc;29
169;American Chamber Of Commerce;30
170;Amcor;10
171;Amd;10
172;Amdahl;29
173;Amerada Hess;29
174;American Medical Systems;29
175;American Express;30
176;American Standard;2
177;Amer Sports;8
178;Amgen;20
179;Amo Germany Gmbh;10
180;Amt;20
181;Amway;29
182;Amylum;9
183;Ana Portugese Airport;20
184;Analog Devices;9
185;Andre & Cie. Sa;20
186;Andritz;1
187;Angela Mortimer;9
188;Anglican Water;1
189;Anixter;29
190;Anritsu;30
191;Ansaldo;30
192;Ansell;2
193;Antenna Tv;11
194;Anthos Consult;20
195;Aol;30
196;Aon;30
197;A-Player;9
198;Ap Moller;6
199;Apple;9
200;Applera;20
201;Applied Materials;9
202;Aptar;9
203;Apv;10
204;Aqualon France Bv;30
205;Arabian Cement Co Ltd  ;30
206;Arab National Bank;10
207;Saudi Aramco Shell Refinery Co;9
208;Arbed;29
209;Arcandor;10
210;Arcelik As;30
211;Arcelor Mittal;17
212;Arch Chemicals;10
213;Arco Chimie France Snc;30
214;Arc Transistance;2
215;Ardagh Group;29
216;Areva;9
217;Industrias Quimicas Argos Sa;30
218;Argyle Diamonds Nv;29
219;Arinso;2
220;Arizona;29
221;Arjo Wiggins;30
222;Arkwright;9
223;Arm Group;10
224;Armentel;10
225;Saudi Methanol Co Ar-Razi;15
226;Arthur D Little;15
227;Arvin Meritor;30
228;Ascom;29
229;Ashland;20
230;Ashridge Management College;9
231;Aspis Pronia;10
232;Asseco;9
